hub_id,hub_name,rim_id,rim_name,F_lat,tension_ratio,flange_width,pcd_mean,pcd_ds,pcd_nds,standard_157,rim_stiffness_index,rim_internal_width,rim_material
h1,Onyx 148 MFU,r1,DT Swiss XM 481,17.617357707005265,62.39573377771944,59.82,50.0,50.0,50.0,0,1.0,30,alloy
h1,Onyx 148 MFU,r2,Race Face ARC Offset 30,17.209008431386817,62.39573377771944,59.82,50.0,50.0,50.0,0,0.952,30,alloy
h1,Onyx 148 MFU,r3,Stan's Flow S2,16.426347782321738,62.39573377771944,59.82,50.0,50.0,50.0,0,0.867,30,alloy
h1,Onyx 148 MFU,r4,We Are One Convert,21.300030635019148,62.39573377771944,59.82,50.0,50.0,50.0,0,1.575,35,carbon
h1,Onyx 148 MFU,r5,ENVE M730,22.072609585675274,62.39573377771944,59.82,50.0,50.0,50.0,0,1.736,30,carbon
h5,Spank Hex J-Type Boost R148,r1,DT Swiss XM 481,20.10983769246704,68.04057655366462,62.0,61.0,64.0,58.0,0,1.0,30,alloy
h5,Spank Hex J-Type Boost R148,r2,Race Face ARC Offset 30,19.645974766056458,68.04057655366462,62.0,61.0,64.0,58.0,0,0.952,30,alloy
h5,Spank Hex J-Type Boost R148,r3,Stan's Flow S2,18.757662900107018,68.04057655366462,62.0,61.0,64.0,58.0,0,0.867,30,alloy
h5,Spank Hex J-Type Boost R148,r4,We Are One Convert,24.30587752967697,68.04057655366462,62.0,61.0,64.0,58.0,0,1.575,35,carbon
h5,Spank Hex J-Type Boost R148,r5,ENVE M730,25.188458471071016,68.04057655366462,62.0,61.0,64.0,58.0,0,1.736,30,carbon
h6,CK 148x12 Centerlock Rear,r1,DT Swiss XM 481,18.991682496600827,66.38374144819737,60.3,57.4,57.4,57.4,0,1.0,30,alloy
h6,CK 148x12 Centerlock Rear,r2,Race Face ARC Offset 30,18.543456146092716,66.38374144819737,60.3,57.4,57.4,57.4,0,0.952,30,alloy
h6,CK 148x12 Centerlock Rear,r3,Stan's Flow S2,17.6840005553119,66.38374144819737,60.3,57.4,57.4,57.4,0,0.867,30,alloy
h6,CK 148x12 Centerlock Rear,r4,We Are One Convert,23.028912663922398,66.38374144819737,60.3,57.4,57.4,57.4,0,1.575,35,carbon
h6,CK 148x12 Centerlock Rear,r5,ENVE M730,23.87474935291515,66.38374144819737,60.3,57.4,57.4,57.4,0,1.736,30,carbon
h8,Project 321 G3 148x12,r1,DT Swiss XM 481,17.435488950177195,69.14049497439005,54.0,57.75,60.5,55.0,0,1.0,30,alloy
h8,Project 321 G3 148x12,r2,Race Face ARC Offset 30,16.937172992059658,69.14049497439005,54.0,57.75,60.5,55.0,0,0.952,30,alloy
h8,Project 321 G3 148x12,r3,Stan's Flow S2,15.97039123243166,69.14049497439005,54.0,57.75,60.5,55.0,0,0.867,30,alloy
h8,Project 321 G3 148x12,r4,We Are One Convert,21.77328569132271,69.14049497439005,54.0,57.75,60.5,55.0,0,1.575,35,carbon
h8,Project 321 G3 148x12,r5,ENVE M730,22.657280336931123,69.14049497439005,54.0,57.75,60.5,55.0,0,1.736,30,carbon
h10,Hydra Mountain 6-Bolt 148,r1,DT Swiss XM 481,19.81950490048289,66.1488440530334,63.0,59.0,60.0,58.0,0,1.0,30,alloy
h10,Hydra Mountain 6-Bolt 148,r2,Race Face ARC Offset 30,19.376786506537435,66.1488440530334,63.0,59.0,60.0,58.0,0,0.952,30,alloy
h10,Hydra Mountain 6-Bolt 148,r3,Stan's Flow S2,18.530032401201158,66.1488440530334,63.0,59.0,60.0,58.0,0,0.867,30,alloy
h10,Hydra Mountain 6-Bolt 148,r4,We Are One Convert,23.841027296677293,66.1488440530334,63.0,59.0,60.0,58.0,0,1.575,35,carbon
h10,Hydra Mountain 6-Bolt 148,r5,ENVE M730,24.6903316712004,66.1488440530334,63.0,59.0,60.0,58.0,0,1.736,30,carbon
h12,I9 Hydra Centerlock 148,r1,DT Swiss XM 481,18.5744073220057,62.195379717065414,63.0,54.5,60.0,49.0,0,1.0,30,alloy
h12,I9 Hydra Centerlock 148,r2,Race Face ARC Offset 30,18.170307175026114,62.195379717065414,63.0,54.5,60.0,49.0,0,0.952,30,alloy
h12,I9 Hydra Centerlock 148,r3,Stan's Flow S2,17.398041748546923,62.195379717065414,63.0,54.5,60.0,49.0,0,0.867,30,alloy
h12,I9 Hydra Centerlock 148,r4,We Are One Convert,22.254405356850178,62.195379717065414,63.0,54.5,60.0,49.0,0,1.575,35,carbon
h12,I9 Hydra Centerlock 148,r5,ENVE M730,23.033513419450227,62.195379717065414,63.0,54.5,60.0,49.0,0,1.736,30,carbon
h14,I9 1/1 Mountain 6-Bolt 148,r1,DT Swiss XM 481,17.814084330072255,62.509208227925804,60.0,59.0,60.0,58.0,0,1.0,30,alloy
h14,I9 1/1 Mountain 6-Bolt 148,r2,Race Face ARC Offset 30,17.4061829388824,62.509208227925804,60.0,59.0,60.0,58.0,0,0.952,30,alloy
h14,I9 1/1 Mountain 6-Bolt 148,r3,Stan's Flow S2,16.624848765982055,62.509208227925804,60.0,59.0,60.0,58.0,0,0.867,30,alloy
h14,I9 1/1 Mountain 6-Bolt 148,r4,We Are One Convert,21.49989467494572,62.509208227925804,60.0,59.0,60.0,58.0,0,1.575,35,carbon
h14,I9 1/1 Mountain 6-Bolt 148,r5,ENVE M730,22.27450098582394,62.509208227925804,60.0,59.0,60.0,58.0,0,1.736,30,carbon
h15,Hope Pro5 148 6-bolt,r1,DT Swiss XM 481,17.687585123878492,64.8876510594695,57.6,58.0,59.0,57.0,0,1.0,30,alloy
h15,Hope Pro5 148 6-bolt,r2,Race Face ARC Offset 30,17.251019965913702,64.8876510594695,57.6,58.0,59.0,57.0,0,0.952,30,alloy
h15,Hope Pro5 148 6-bolt,r3,Stan's Flow S2,16.41170161135442,64.8876510594695,57.6,58.0,59.0,57.0,0,0.867,30,alloy
h15,Hope Pro5 148 6-bolt,r4,We Are One Convert,21.58698888014785,64.8876510594695,57.6,58.0,59.0,57.0,0,1.575,35,carbon
h15,Hope Pro5 148 6-bolt,r5,ENVE M730,22.39809122255757,64.8876510594695,57.6,58.0,59.0,57.0,0,1.736,30,carbon
h17,Erase MTB IS 148x12 V2,r1,DT Swiss XM 481,19.79347915257552,66.28181119236984,63.0,53.0,56.0,50.0,0,1.0,30,alloy
h17,Erase MTB IS 148x12 V2,r2,Race Face ARC Offset 30,19.34793814689992,66.28181119236984,63.0,53.0,56.0,50.0,0,0.952,30,alloy
h17,Erase MTB IS 148x12 V2,r3,Stan's Flow S2,18.495520735412207,66.28181119236984,63.0,53.0,56.0,50.0,0,0.867,30,alloy
h17,Erase MTB IS 148x12 V2,r4,We Are One Convert,23.83638989717248,66.28181119236984,63.0,53.0,56.0,50.0,0,1.575,35,carbon
h17,Erase MTB IS 148x12 V2,r5,ENVE M730,24.689336598206427,66.28181119236984,63.0,53.0,56.0,50.0,0,1.736,30,carbon
h20,Hadley 148x12,r1,DT Swiss XM 481,17.701998724396955,62.22811733761836,60.0,55.5,59.0,52.0,0,1.0,30,alloy
h20,Hadley 148x12,r2,Race Face ARC Offset 30,17.295916953893116,62.22811733761836,60.0,55.5,59.0,52.0,0,0.952,30,alloy
h20,Hadley 148x12,r3,Stan's Flow S2,16.51797721148871,62.22811733761836,60.0,55.5,59.0,52.0,0,0.867,30,alloy
h20,Hadley 148x12,r4,We Are One Convert,21.36993133988194,62.22811733761836,60.0,55.5,59.0,52.0,0,1.575,35,carbon
h20,Hadley 148x12,r5,ENVE M730,22.140513133043626,62.22811733761836,60.0,55.5,59.0,52.0,0,1.736,30,carbon
h21,OneUp Rear Hub 148x12,r1,DT Swiss XM 481,17.483521641170693,60.70312297518087,61.0,50.0,48.0,52.0,0,1.0,30,alloy
h21,OneUp Rear Hub 148x12,r2,Race Face ARC Offset 30,17.093443065529215,60.70312297518087,61.0,50.0,48.0,52.0,0,0.952,30,alloy
h21,OneUp Rear Hub 148x12,r3,Stan's Flow S2,16.347042073338272,60.70312297518087,61.0,50.0,48.0,52.0,0,0.867,30,alloy
h21,OneUp Rear Hub 148x12,r4,We Are One Convert,21.020473627740976,60.70312297518087,61.0,50.0,48.0,52.0,0,1.575,35,carbon
h21,OneUp Rear Hub 148x12,r5,ENVE M730,21.766213585902335,60.70312297518087,61.0,50.0,48.0,52.0,0,1.736,30,carbon
h23,KOM Xeno Rear Boost 148x12,r1,DT Swiss XM 481,19.0795390157948,77.20674343575655,54.0,46.0,46.0,46.0,0,1.0,30,alloy
h23,KOM Xeno Rear Boost 148x12,r2,Race Face ARC Offset 30,18.462479807149762,77.20674343575655,54.0,46.0,46.0,46.0,0,0.952,30,alloy
h23,KOM Xeno Rear Boost 148x12,r3,Stan's Flow S2,17.256054395698076,77.20674343575655,54.0,46.0,46.0,46.0,0,0.867,30,alloy
h23,KOM Xeno Rear Boost 148x12,r4,We Are One Convert,24.34081048081888,77.20674343575655,54.0,46.0,46.0,46.0,0,1.575,35,carbon
h23,KOM Xeno Rear Boost 148x12,r5,ENVE M730,25.395405202741678,77.20674343575655,54.0,46.0,46.0,46.0,0,1.736,30,carbon
h27,DMR Zone 148 Boost Centerlock,r1,DT Swiss XM 481,15.580794167344463,55.565944905695595,59.0,56.0,56.0,56.0,0,1.0,30,alloy
h27,DMR Zone 148 Boost Centerlock,r2,Race Face ARC Offset 30,15.238340229208504,55.565944905695595,59.0,56.0,56.0,56.0,0,0.952,30,alloy
h27,DMR Zone 148 Boost Centerlock,r3,Stan's Flow S2,14.583147829174143,55.565944905695595,59.0,56.0,56.0,56.0,0,0.867,30,alloy
h27,DMR Zone 148 Boost Centerlock,r4,We Are One Convert,18.68654617637877,55.565944905695595,59.0,56.0,56.0,56.0,0,1.575,35,carbon
h27,DMR Zone 148 Boost Centerlock,r5,ENVE M730,19.341620990170533,55.565944905695595,59.0,56.0,56.0,56.0,0,1.736,30,carbon
